id;title;description;availability;inventory;condition;price;sale_price;link;image_link;brand;item_group_id;product_type;google_product_category
7,46221E+11;Масло грецкого ореха холодного отжима - сыродавленное живое масло - 250 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;850.00 RUB;;https://oilonoil.ru/tproduct/1-442439476981-maslo-gretskogo-oreha?editionuid=746220756781;https://static.tildacdn.com/tild6237-6632-4936-a536-323331623363/DSC_0250.jpg;Маслодел — OilOnOil.ru;4,42439E+11;Масло грецкого ореха;
8,3544E+11;Масло грецкого ореха холодного отжима - сыродавленное живое масло - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;1,500.00 RUB;;https://oilonoil.ru/tproduct/1-442439476981-maslo-gretskogo-oreha?editionuid=835439643161;https://static.tildacdn.com/tild3336-6164-4535-b533-653335393233/DSC_0003.jpg;Маслодел — OilOnOil.ru;4,42439E+11;Масло грецкого ореха;
5,44808E+11;Льняное масло холодного отжима - сыродавленное живое масло - 250 мл - Коричневого льна;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;450.00 RUB;;https://oilonoil.ru/tproduct/1-349513936431-lnyanoe-maslo?editionuid=544807527121;https://static.tildacdn.com/tild3630-3362-4565-b834-643339306532/DSC_0003.png;Маслодел — OilOnOil.ru;3,49514E+11;Льняное масло;
8,78954E+11;Льняное масло холодного отжима - сыродавленное живое масло - 500 мл - Коричневого льна;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;750.00 RUB;;https://oilonoil.ru/tproduct/1-349513936431-lnyanoe-maslo?editionuid=878953725881;https://static.tildacdn.com/tild6431-6238-4365-b365-343433313466/DSC_0011.png;Маслодел — OilOnOil.ru;3,49514E+11;Льняное масло;
5,70385E+11;Льняное масло холодного отжима - сыродавленное живое масло - 250 мл - Белого льна;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;550.00 RUB;;https://oilonoil.ru/tproduct/1-349513936431-lnyanoe-maslo?editionuid=570385124611;https://static.tildacdn.com/tild6662-3536-4332-b634-643466666130/DSC_0005.png;Маслодел — OilOnOil.ru;3,49514E+11;Льняное масло;
5,55822E+11;Льняное масло холодного отжима - сыродавленное живое масло - 500 мл - Белого льна;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;950.00 RUB;;https://oilonoil.ru/tproduct/1-349513936431-lnyanoe-maslo?editionuid=555821512701;https://static.tildacdn.com/tild3864-3638-4539-b162-656365626539/DSC_0004.png;Маслодел — OilOnOil.ru;3,49514E+11;Льняное масло;
8,01244E+11;Подсолнечное масло холодного отжима - сыродавленное живое масло - 250 мл;Ожидаем поставки сырья.Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;330.00 RUB;;https://oilonoil.ru/tproduct/1-191702964061-podsolnechnoe-maslo?editionuid=801244403051;https://static.tildacdn.com/tild6166-3439-4630-b365-386263626364/DSC_0003.png;Маслодел — OilOnOil.ru;1,91703E+11;Подсолнечное масло;
4,53984E+11;Подсолнечное масло холодного отжима - сыродавленное живое масло - 500 мл;Ожидаем поставки сырья.Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;500.00 RUB;;https://oilonoil.ru/tproduct/1-191702964061-podsolnechnoe-maslo?editionuid=453983839871;https://static.tildacdn.com/tild3037-3333-4366-b134-303162356564/DSC_0008.png;Маслодел — OilOnOil.ru;1,91703E+11;Подсолнечное масло;
3,08135E+11;Кунжутное масло холодного отжима - сыродавленное живое масло - 250 мл - Белого кунжута;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;600.00 RUB;;https://oilonoil.ru/tproduct/1-976483656691-kunzhutnoe-maslo?editionuid=308134782271;https://static.tildacdn.com/tild3831-3038-4432-a265-333333646333/DSC_0024.jpg;Маслодел — OilOnOil.ru;9,76484E+11;Кунжутное масло;
1,4861E+11;Кунжутное масло холодного отжима - сыродавленное живое масло - 500 мл - Белого кунжута;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;1,070.00 RUB;;https://oilonoil.ru/tproduct/1-976483656691-kunzhutnoe-maslo?editionuid=148609844221;https://static.tildacdn.com/tild3033-3939-4866-b666-663332636163/DSC_0004.jpg;Маслодел — OilOnOil.ru;9,76484E+11;Кунжутное масло;
